PM, 20CB650, CSBS-6, Wednesday, B
PM, 20CB650, CSBS-6, Wednesday, C
MDL, 20HU612, CSBS-6, Friday, A
MDL, 20HU612, CSBS-6, Thursday, F
CSB, 20HU412, CSBS-4, Tuesday, D
CSB, 20HU412, CSBS-4, Saturday, D
PM, 22CB470, CSBS-4, Thursday, B
PM, 22CB470, CSBS-4, Thursday, C
MDL, 20HU612, ISE-6, Friday, D
MDL, 20HU612, ISE-6, Friday, F
NC, 22CB220, CSBS-2, Monday, E
NC, 22CB220, CSBS-2, Tuesday, F
NC, 22CB220, CSBS-2, Wednesday, F
NC, 22CB220, CSBS-2, Thursday, F
NC, 22CB220, CSBS-2, Saturday, D
PM, 22CB260, CSBS-2, Wednesday, G
PM, 22CB260, CSBS-2, Saturday, E
AHK, 22MA412, ISE-4B, Tuesday, D
AHK, 22MA412, ISE-4B, Wednesday, A
AHK, 22MA412, ISE-4B, Saturday, D
SU, 22HU412, ISE-4B, Monday, F
SU, 22HU412, ISE-4B, Saturday, C
AHK, 22MA412, ISE-4A, Monday, E
AHK, 22MA412, ISE-4A, Tuesday, B
AHK, 22MA412, ISE-4A, Friday, E
CSB, 22HU412, ISE-4A, Monday, D
CSB, 22HU412, ISE-4A, Thursday, F
